"metropolitan_area","rate","rank"
"Dothan, AL Metropolitan Statistical Area",7,169
"Evansville, IN-KY Metropolitan Statistical Area",7,169
"Jacksonville, FL Metropolitan Statistical Area",7,169
"Jacksonville, NC Metropolitan Statistical Area",7,169
"Killeen-Temple, TX Metropolitan Statistical Area",7,169
"Montgomery, AL Metropolitan Statistical Area",7,169
"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area",7,169
"Owensboro, KY Metropolitan Statistical Area",7,169
"Rochester, NY Metropolitan Statistical Area",7,169
"Kingston, NY Metropolitan Statistical Area",7.1,180
"Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area",7.1,180
"Naples-Immokalee-Marco Island, FL Metropolitan Statistical Area",7.1,180
"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area",7.1,180
"Reading, PA Metropolitan Statistical Area",7.1,180
"St. Louis, MO-IL Metropolitan Statistical Area(1)",7.1,180
"Santa Rosa, CA Metropolitan Statistical Area",7.1,180
"Bloomington, IN Metropolitan Statistical Area",7.2,187
"Bloomsburg-Berwick, PA Metropolitan Statistical Area",7.2,187
"Bremerton-Silverdale, WA Metropolitan Statistical Area",7.2,187
"Decatur, AL Metropolitan Statistical Area",7.2,187
"Elkhart-Goshen, IN Metropolitan Statistical Area",7.2,187
"Jackson, MS Metropolitan Statistical Area",7.2,187
"Knoxville, TN Metropolitan Statistical Area",7.2,187
"Lansing-East Lansing, MI Metropolitan Statistical Area",7.2,187
"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area",7.2,187
"Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area",7.2,187
"Panama City, FL Metropolitan Statistical Area",7.2,187
"Santa Maria-Santa Barbara, CA Metropolitan Statistical Area",7.2,187
"Walla Walla, WA Metropolitan Statistical Area",7.2,187
"Wheeling, WV-OH Metropolitan Statistical Area",7.2,187
"Worcester, MA-CT Metropolitan NECTA",7.2,187
"Bowling Green, KY Metropolitan Statistical Area",7.3,202
"Burlington, NC Metropolitan Statistical Area",7.3,202
"Cape Coral-Fort Myers, FL Metropolitan Statistical Area",7.3,202
"Cincinnati, OH-KY-IN Metropolitan Statistical Area",7.3,202
"Coeur d'Alene, ID Metropolitan Statistical Area",7.3,202
"Dover, DE Metropolitan Statistical Area",7.3,202
"Monroe, LA Metropolitan Statistical Area",7.3,202
"Springfield, IL Metropolitan Statistical Area",7.3,202
"Texarkana, TX-AR Metropolitan Statistical Area",7.3,202
"Trenton, NJ Metropolitan Statistical Area",7.3,202
"Athens-Clarke County, GA Metropolitan Statistical Area",7.4,212
"Bellingham, WA Metropolitan Statistical Area",7.4,212
"Champaign-Urbana, IL Metropolitan Statistical Area",7.4,212
"Chattanooga, TN-GA Metropolitan Statistical Area",7.4,212
"Cleveland, TN Metropolitan Statistical Area",7.4,212
"Erie, PA Metropolitan Statistical Area",7.4,212
"Fort Wayne, IN Metropolitan Statistical Area",7.4,212
"Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area",7.4,212
"Monroe, MI Metropolitan Statistical Area",7.4,212
"Bridgeport-Stamford-Norwalk, CT Metropolitan NECTA",7.5,221
"Florence-Muscle Shoals, AL Metropolitan Statistical Area",7.5,221
"Hattiesburg, MS Metropolitan Statistical Area",7.5,221
"Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area",7.5,221
"Kingsport-Bristol-Bristol, TN-VA Metropolitan Statistical Area",7.5,221
"Las Cruces, NM Metropolitan Statistical Area",7.5,221
"Shreveport-Bossier City, LA Metropolitan Statistical Area",7.5,221
"Springfield, OH Metropolitan Statistical Area",7.5,221
"Syracuse, NY Metropolitan Statistical Area",7.5,221
"Utica-Rome, NY Metropolitan Statistical Area",7.5,221
"Akron, OH Metropolitan Statistical Area",7.6,231
"Binghamton, NY Metropolitan Statistical Area",7.6,231
"Buffalo-Cheektowaga-Niagara Falls, NY Metropolitan Statistical Area",7.6,231
"Canton-Massillon, OH Metropolitan Statistical Area",7.6,231
"Gadsden, AL Metropolitan Statistical Area",7.6,231
"Hot Springs, AR Metropolitan Statistical Area",7.6,231
"Kalamazoo-Portage, MI Metropolitan Statistical Area",7.6,231
"Olympia-Tumwater, WA Metropolitan Statistical Area",7.6,231
"Pittsfield, MA Metropolitan NECTA",7.6,231
"Wenatchee, WA Metropolitan Statistical Area",7.6,231
"Beckley, WV Metropolitan Statistical Area",7.7,241
"Janesville-Beloit, WI Metropolitan Statistical Area",7.7,241
"Midland, MI Metropolitan Statistical Area",7.7,241
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area",7.7,241
"Prescott, AZ Metropolitan Statistical Area",7.7,241
"Winston-Salem, NC Metropolitan Statistical Area",7.7,241
"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",7.8,247
"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",7.8,247
"Fort Smith, AR-OK Metropolitan Statistical Area",7.8,247
"Glens Falls, NY Metropolitan Statistical Area",7.8,247
"Goldsboro, NC Metropolitan Statistical Area",7.8,247
"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA",7.8,247
"Lima, OH Metropolitan Statistical Area",7.8,247
"San Diego-Carlsbad, CA Metropolitan Statistical Area",7.8,247
"Springfield, MA-CT Metropolitan NECTA",7.8,247
"Williamsport, PA Metropolitan Statistical Area",7.8,247
"Wilmington, NC Metropolitan Statistical Area",7.8,247
"Battle Creek, MI Metropolitan Statistical Area",7.9,258
"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area",7.9,258
"Colorado Springs, CO Metropolitan Statistical Area",7.9,258
"Dayton, OH Metropolitan Statistical Area",7.9,258
"El Paso, TX Metropolitan Statistical Area",7.9,258
"Elmira, NY Metropolitan Statistical Area",7.9,258
"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",7.9,258
"Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area",7.9,258
"Elizabethtown-Fort Knox, KY Metropolitan Statistical Area",8,266
"Eugene, OR Metropolitan Statistical Area",8,266
"Gulfport-Biloxi-Pascagoula, MS Metropolitan Statistical Area",8,266
"Hammond, LA Metropolitan Statistical Area",8,266
"Johnson City, TN Metropolitan Statistical Area",8,266
"New Haven, CT Metropolitan NECTA",8,266
"Punta Gorda, FL Metropolitan Statistical Area",8,266
"Savannah, GA Metropolitan Statistical Area",8,266
"Spartanburg, SC Metropolitan Statistical Area",8,266
"Valdosta, GA Metropolitan Statistical Area",8,266
"Warner Robins, GA Metropolitan Statistical Area",8,266
"Barnstable Town, MA Metropolitan NECTA",8.1,277
"Clarksville, TN-KY Metropolitan Statistical Area",8.1,277
"Flagstaff, AZ Metropolitan Statistical Area",8.1,277
"Greenville, NC Metropolitan Statistical Area",8.1,277
"Kokomo, IN Metropolitan Statistical Area",8.1,277
"Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area",8.2,282
"Jackson, TN Metropolitan Statistical Area",8.2,282
"Lakeland-Winter Haven, FL Metropolitan Statistical Area",8.2,282
"Toledo, OH Metropolitan Statistical Area",8.2,282
"Cumberland, MD-WV Metropolitan Statistical Area",8.3,286
"Jackson, MI Metropolitan Statistical Area",8.3,286
"Leominster-Gardner, MA Metropolitan NECTA",8.3,286
"Palm Bay-Melbourne-Titusville, FL Metropolitan Statistical Area",8.3,286
"Racine, WI Metropolitan Statistical Area",8.3,286
"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",8.4,291
"Hinesville, GA Metropolitan Statistical Area",8.4,291
"Salisbury, MD-DE Metropolitan Statistical Area",8.4,291
"Spokane-Spokane Valley, WA Metropolitan Statistical Area",8.4,291
"Carbondale-Marion, IL Metropolitan Statistical Area",8.5,295
"Greensboro-High Point, NC Metropolitan Statistical Area",8.5,295
"Memphis, TN-MS-AR Metropolitan Statistical Area",8.5,295
"Mobile, AL Metropolitan Statistical Area",8.5,295
"Norwich-New London-Westerly, CT-RI Metropolitan NECTA",8.5,295
"Ocala, FL Metropolitan Statistical Area",8.5,295
"Columbus, GA-AL Metropolitan Statistical Area",8.6,301
"Florence, SC Metropolitan Statistical Area",8.6,301
"Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area",8.6,301
"Mansfield, OH Metropolitan Statistical Area",8.6,301
"Mount Vernon-Anacortes, WA Metropolitan Statistical Area",8.6,301
"Muncie, IN Metropolitan Statistical Area",8.6,301
"New Bern, NC Metropolitan Statistical Area",8.6,301
"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area",8.6,301
"Youngstown-Warren-Boardman, OH-PA Metropolitan Statistical Area",8.6,301
"Bay City, MI Metropolitan Statistical Area",8.7,310
"Grand Junction, CO Metropolitan Statistical Area",8.7,310
"Johnstown, PA Metropolitan Statistical Area",8.7,310
"Niles-Benton Harbor, MI Metropolitan Statistical Area",8.7,310
"Sacramento--Roseville--Arden-Arcade, CA Metropolitan Statistical Area",8.7,310
"Salem, OR Metropolitan Statistical Area",8.7,310
"Sumter, SC Metropolitan Statistical Area",8.7,310
"Anniston-Oxford-Jacksonville, AL Metropolitan Statistical Area",8.8,317
"Brunswick, GA Metropolitan Statistical Area",8.8,317
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metropolitan Statistical Area",8.9,319
"Scranton--Wilkes-Barre--Hazleton, PA Metropolitan Statistical Area",8.9,319
"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",9,321
"Macon-Bibb County, GA Metropolitan Statistical Area",9,321
"Peoria, IL Metropolitan Statistical Area",9,321
"Port St. Lucie, FL Metropolitan Statistical Area",9,321
"Providence-Warwick, RI-MA Metropolitan NECTA",9,321
"Saginaw, MI Metropolitan Statistical Area",9,321
"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area",9.1,327
"Kennewick-Richland, WA Metropolitan Statistical Area",9.1,327
"Morristown, TN Metropolitan Statistical Area",9.1,327
"Vallejo-Fairfield, CA Metropolitan Statistical Area",9.1,327
"Sierra Vista-Douglas, AZ Metropolitan Statistical Area",9.2,331
"Watertown-Fort Drum, NY Metropolitan Statistical Area",9.2,331
"Michigan City-La Porte, IN Metropolitan Statistical Area",9.3,333
"The Villages, FL Metropolitan Statistical Area",9.3,333
"Albany, GA Metropolitan Statistical Area",9.4,335
"East Stroudsburg, PA Metropolitan Statistical Area",9.4,335
"Terre Haute, IN Metropolitan Statistical Area",9.4,335
"Bend-Redmond, OR Metropolitan Statistical Area",9.5,338
"Reno, NV Metropolitan Statistical Area",9.5,338
"Rome, GA Metropolitan Statistical Area",9.5,338
"Sebring, FL Metropolitan Statistical Area",9.5,338
"Sebastian-Vero Beach, FL Metropolitan Statistical Area",9.6,342
"Weirton-Steubenville, WV-OH Metropolitan Statistical Area",9.6,342
"Albany, OR Metropolitan Statistical Area",9.7,344
"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area",9.7,344
"Fayetteville, NC Metropolitan Statistical Area",9.7,344
"Flint, MI Metropolitan Statistical Area",9.7,344
"Homosassa Springs, FL Metropolitan Statistical Area",9.7,344
"Las Vegas-Henderson-Paradise, NV Metropolitan Statistical Area",9.7,344
"Medford, OR Metropolitan Statistical Area",9.7,344
"Waterbury, CT Metropolitan NECTA",9.7,344
"Longview, WA Metropolitan Statistical Area",9.8,352
"Pine Bluff, AR Metropolitan Statistical Area",9.8,352
"Pueblo, CO Metropolitan Statistical Area",9.8,352
"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",9.8,352
"Muskegon, MI Metropolitan Statistical Area",9.9,356
"Brownsville-Harlingen, TX Metropolitan Statistical Area",10,357
"Dalton, GA Metropolitan Statistical Area",10,357
"Yakima, WA Metropolitan Statistical Area",10,357
"Chico, CA Metropolitan Statistical Area",10.3,360
"Kankakee, IL Metropolitan Statistical Area",10.3,360
"Lake Havasu City-Kingman, AZ Metropolitan Statistical Area",10.3,360
"McAllen-Edinburg-Mission, TX Metropolitan Statistical Area",10.3,360
"Salinas, CA Metropolitan Statistical Area",10.3,360
"Santa Cruz-Watsonville, CA Metropolitan Statistical Area",10.3,360
"Beaumont-Port Arthur, TX Metropolitan Statistical Area",10.4,366
"Carson City, NV Metropolitan Statistical Area",10.4,366
"Rockford, IL Metropolitan Statistical Area",10.4,366
"New Bedford, MA Metropolitan NECTA",10.5,369
"Danville, IL Metropolitan Statistical Area",10.6,370
"Grants Pass, OR Metropolitan Statistical Area",11.1,371
"Decatur, IL Metropolitan Statistical Area",11.3,372
"Rocky Mount, NC Metropolitan Statistical Area",11.3,372
"Atlantic City-Hammonton, NJ Metropolitan Statistical Area",11.7,374
"Bakersfield, CA Metropolitan Statistical Area",11.7,374
"Redding, CA Metropolitan Statistical Area",11.8,376
"Vineland-Bridgeton, NJ Metropolitan Statistical Area",11.8,376
"Stockton-Lodi, CA Metropolitan Statistical Area",12.3,378
"Madera, CA Metropolitan Statistical Area",12.6,379
"Modesto, CA Metropolitan Statistical Area",12.9,380
"Fresno, CA Metropolitan Statistical Area",13.3,381
"Hanford-Corcoran, CA Metropolitan Statistical Area",13.4,382
"Yuba City, CA Metropolitan Statistical Area",14.1,383
"Ocean City, NJ Metropolitan Statistical Area",14.3,384
"Visalia-Porterville, CA Metropolitan Statistical Area",14.4,385
"Merced, CA Metropolitan Statistical Area",14.5,386
"El Centro, CA Metropolitan Statistical Area",25,387
"Yuma, AZ Metropolitan Statistical Area",25.5,388
"Bismarck, ND Metropolitan Statistical Area",2.7,1
"Fargo, ND-MN Metropolitan Statistical Area",2.7,1
"Ames, IA Metropolitan Statistical Area",2.9,3
"Midland, TX Metropolitan Statistical Area",2.9,3
"Sioux Falls, SD Metropolitan Statistical Area",2.9,3
"Lincoln, NE Metropolitan Statistical Area",3,6
"Iowa City, IA Metropolitan Statistical Area",3.1,7
"Burlington-South Burlington, VT Metropolitan NECTA",3.2,8
"Logan, UT-ID Metropolitan Statistical Area",3.2,8
"Mankato-North Mankato, MN Metropolitan Statistical Area",3.3,10
"Grand Forks, ND-MN Metropolitan Statistical Area",3.4,11
"Odessa, TX Metropolitan Statistical Area",3.4,11
"Provo-Orem, UT Metropolitan Statistical Area",3.5,13
"Rapid City, SD Metropolitan Statistical Area",3.5,13
"Enid, OK Metropolitan Statistical Area",3.6,15
"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",3.6,15
"Amarillo, TX Metropolitan Statistical Area",3.7,17
"Billings, MT Metropolitan Statistical Area",3.7,17
"Manhattan, KS Metropolitan Statistical Area",3.7,17
"Rochester, MN Metropolitan Statistical Area",3.7,17
"Salt Lake City, UT Metropolitan Statistical Area",3.7,17
"Grand Island, NE Metropolitan Statistical Area",3.8,22
"Madison, WI Metropolitan Statistical Area",3.9,23
"Ogden-Clearfield, UT Metropolitan Statistical Area",3.9,23
"Portsmouth, NH-ME Metropolitan NECTA",3.9,23
"Casper, WY Metropolitan Statistical Area",4,26
"Lubbock, TX Metropolitan Statistical Area",4,26
"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area",4,26
"Oklahoma City, OK Metropolitan Statistical Area",4,26
"San Angelo, TX Metropolitan Statistical Area",4,26
"Boulder, CO Metropolitan Statistical Area",4.1,31
"College Station-Bryan, TX Metropolitan Statistical Area",4.1,31
"Des Moines-West Des Moines, IA Metropolitan Statistical Area",4.1,31
"Dover-Durham, NH-ME Metropolitan NECTA",4.1,31
"Dubuque, IA Metropolitan Statistical Area",4.1,31
"Lawrence, KS Metropolitan Statistical Area",4.1,31
"Sioux City, IA-NE-SD Metropolitan Statistical Area",4.1,31
"Urban Honolulu, HI Metropolitan Statistical Area",4.1,31
"Austin-Round Rock, TX Metropolitan Statistical Area",4.2,39
"Columbia, MO Metropolitan Statistical Area",4.2,39
"Idaho Falls, ID Metropolitan Statistical Area",4.2,39
"Manchester, NH Metropolitan NECTA",4.2,39
"Victoria, TX Metropolitan Statistical Area",4.2,39
"Abilene, TX Metropolitan Statistical Area",4.3,44
"Cheyenne, WY Metropolitan Statistical Area",4.3,44
"Fort Collins, CO Metropolitan Statistical Area",4.3,44
"Great Falls, MT Metropolitan Statistical Area",4.3,44
"St. Cloud, MN Metropolitan Statistical Area",4.3,44
"State College, PA Metropolitan Statistical Area",4.3,44
"Cedar Rapids, IA Metropolitan Statistical Area",4.4,50
"Columbus, IN Metropolitan Statistical Area",4.4,50
"Ithaca, NY Metropolitan Statistical Area",4.4,50
"La Crosse-Onalaska, WI-MN Metropolitan Statistical Area",4.4,50
"Missoula, MT Metropolitan Statistical Area",4.4,50
"St. George, UT Metropolitan Statistical Area",4.4,50
"Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area",4.5,56
"Greeley, CO Metropolitan Statistical Area",4.5,56
"Kahului-Wailuku-Lahaina, HI Metropolitan Statistical Area",4.5,56
"Lewiston, ID-WA Metropolitan Statistical Area",4.5,56
"Sheboygan, WI Metropolitan Statistical Area",4.5,56
"Tulsa, OK Metropolitan Statistical Area",4.5,56
"Appleton, WI Metropolitan Statistical Area",4.6,62
"Charlottesville, VA Metropolitan Statistical Area",4.6,62
"Gettysburg, PA Metropolitan Statistical Area",4.6,62
"Lancaster, PA Metropolitan Statistical Area",4.6,62
"Pocatello, ID Metropolitan Statistical Area",4.6,62
