"metropolitan_area","rate","rank","year"
"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA",5.2,40,"lg_2"
"Memphis, TN-MS-AR Metropolitan Statistical Area",5.2,40,"lg_2"
"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area",5.3,42,"lg_2"
"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area",5.3,42,"lg_2"
"Sacramento--Roseville--Arden-Arcade, CA Metropolitan Statistical Area",5.3,42,"lg_2"
"Cleveland-Elyria, OH Metropolitan Statistical Area",5.4,45,"lg_2"
"Birmingham-Hoover, AL Metropolitan Statistical Area",5.5,46,"lg_2"
"New Orleans-Metairie, LA Metropolitan Statistical Area",5.5,46,"lg_2"
"Pittsburgh, PA Metropolitan Statistical Area",5.6,48,"lg_2"
"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area",5.8,49,"lg_2"
"Las Vegas-Henderson-Paradise, NV Metropolitan Statistical Area",5.9,50,"lg_2"
"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",6,51,"lg_2"
"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area",2.7,1,"lg_2"
"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area",2.9,2,"lg_2"
"Austin-Round Rock, TX Metropolitan Statistical Area",3.1,3,"lg_2"
"Salt Lake City, UT Metropolitan Statistical Area",3.1,3,"lg_2"
"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area",3.2,5,"lg_2"
"Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area",3.3,6,"lg_2"
"San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area",3.3,6,"lg_2"
"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",3.3,6,"lg_2"
"Boston-Cambridge-Nashua, MA-NH Metropolitan NECTA",3.4,9,"lg_2"
"Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area",3.5,10,"lg_2"
