"city","rate","rank","year"
"Louisville-Jefferson County (consolidated) city, KY",4.8,23,"2015"
"Charlotte city, NC",4.9,24,"2015"
"San Diego city, CA",4.9,24,"2015"
"Wichita city, KS",5,26,"2015"
"Indianapolis (consolidated) city, IN",5.1,27,"2015"
"Mesa city, AZ",5.2,28,"2015"
"Phoenix city, AZ",5.3,29,"2015"
"Kansas City city, MO",5.7,30,"2015"
"New York city, NY",5.7,30,"2015"
"Albuquerque city, NM",5.8,32,"2015"
"Miami city, FL",5.8,32,"2015"
"Tucson city, AZ",5.8,32,"2015"
"Jacksonville city, FL",5.9,35,"2015"
"Oakland city, CA",5.9,35,"2015"
"Sacramento city, CA",6.3,37,"2015"
"Atlanta city, GA",6.5,38,"2015"
"Chicago city, IL",6.6,39,"2015"
"Cleveland city, OH",6.6,39,"2015"
"Milwaukee city, WI",6.6,39,"2015"
"Washington city, DC",6.9,42,"2015"
"Los Angeles city, CA",7,43,"2015"
"Memphis city, TN",7,43,"2015"
"Las Vegas city, NV",7.1,45,"2015"
"Philadelphia County/city, PA",7.1,45,"2015"
"Long Beach city, CA",7.2,47,"2015"
"Baltimore city, MD",7.5,48,"2015"
"Fresno city, CA",11.1,49,"2015"
"Detroit city, MI",11.8,50,"2015"
"Honolulu County/city, HI",2.8,1,"2016"
"Austin city, TX",3.1,2,"2016"
"Denver County/city, CO",3.1,2,"2016"
"Omaha city, NE",3.2,4,"2016"
"San Francisco County/city, CA",3.3,5,"2016"
"Minneapolis city, MN",3.4,6,"2016"
"Boston city, MA",3.5,7,"2016"
"Colorado Springs city, CO",3.6,8,"2016"
"Nashville-Davidson (consolidated) city, TN",3.6,8,"2016"
"Seattle city, WA",3.6,8,"2016"
"San Antonio city, TX",3.7,11,"2016"
"Dallas city, TX",4,12,"2016"
"Oklahoma City city, OK",4,12,"2016"
"San Jose city, CA",4,12,"2016"
"Virginia Beach city, VA",4,12,"2016"
"Portland city, OR",4.1,16,"2016"
"Columbus city, OH",4.2,17,"2016"
"Fort Worth city, TX",4.2,17,"2016"
"Indianapolis (consolidated) city, IN",4.5,19,"2016"
"Louisville-Jefferson County (consolidated) city, KY",4.5,19,"2016"
"Tulsa city, OK",4.5,19,"2016"
"Mesa city, AZ",4.6,22,"2016"
"Raleigh city, NC",4.6,22,"2016"
"San Diego city, CA",4.6,22,"2016"
"El Paso city, TX",4.7,25,"2016"
"Phoenix city, AZ",4.7,25,"2016"
"Wichita city, KS",4.8,27,"2016"
"Charlotte city, NC",4.9,28,"2016"
"Kansas City city, MO",4.9,28,"2016"
"Oakland city, CA",4.9,28,"2016"
"Houston city, TX",5,31,"2016"
"Jacksonville city, FL",5,31,"2016"
"Miami city, FL",5.2,33,"2016"
"New York city, NY",5.2,33,"2016"
"Tucson city, AZ",5.2,33,"2016"
"Los Angeles city, CA",5.3,36,"2016"
"Long Beach city, CA",5.4,37,"2016"
"Sacramento city, CA",5.5,38,"2016"
"Milwaukee city, WI",5.6,39,"2016"
"Albuquerque city, NM",5.8,40,"2016"
"Atlanta city, GA",5.8,40,"2016"
"Memphis city, TN",5.8,40,"2016"
"Las Vegas city, NV",6.1,43,"2016"
"Washington city, DC",6.1,43,"2016"
"Chicago city, IL",6.4,45,"2016"
"Baltimore city, MD",6.6,46,"2016"
"Philadelphia County/city, PA",6.8,47,"2016"
"Cleveland city, OH",7.1,48,"2016"
"Fresno city, CA",7.7,49,"2016"
"Detroit city, MI",10.7,50,"2016"
"Honolulu County/city, HI",2.2,1,"2017"
"Nashville-Davidson (consolidated) city, TN",2.7,2,"2017"
"Denver County/city, CO",2.8,3,"2017"
"Austin city, TX",2.9,4,"2017"
"San Francisco County/city, CA",2.9,4,"2017"
"Minneapolis city, MN",3.1,6,"2017"
"Colorado Springs city, CO",3.2,7,"2017"
"Omaha city, NE",3.2,7,"2017"
"San Jose city, CA",3.3,9,"2017"
"Boston city, MA",3.4,10,"2017"
"Seattle city, WA",3.4,10,"2017"
"San Antonio city, TX",3.5,12,"2017"
"Indianapolis (consolidated) city, IN",3.6,13,"2017"
"Portland city, OR",3.6,13,"2017"
"Virginia Beach city, VA",3.6,13,"2017"
"Dallas city, TX",3.8,16,"2017"
"Fort Worth city, TX",3.8,16,"2017"
"Oklahoma City city, OK",3.9,18,"2017"
"San Diego city, CA",3.9,18,"2017"
"Columbus city, OH",4.1,20,"2017"
"Jacksonville city, FL",4.2,21,"2017"
"Mesa city, AZ",4.2,21,"2017"
"Oakland city, CA",4.2,21,"2017"
"Raleigh city, NC",4.2,21,"2017"
"Kansas City city, MO",4.3,25,"2017"
"Phoenix city, AZ",4.3,25,"2017"
"Charlotte city, NC",4.4,27,"2017"
"El Paso city, TX",4.4,27,"2017"
"Louisville-Jefferson County (consolidated) city, KY",4.4,27,"2017"
"Wichita city, KS",4.4,27,"2017"
"New York city, NY",4.5,31,"2017"
"Tulsa city, OK",4.5,31,"2017"
"Milwaukee city, WI",4.6,33,"2017"
"Los Angeles city, CA",4.7,34,"2017"
"Miami city, FL",4.7,34,"2017"
"Sacramento city, CA",4.7,34,"2017"
"Tucson city, AZ",4.7,34,"2017"
"Houston city, TX",4.8,38,"2017"
"Long Beach city, CA",4.8,38,"2017"
"Memphis city, TN",4.8,38,"2017"
"Atlanta city, GA",5.2,41,"2017"
"Las Vegas city, NV",5.4,42,"2017"
"Albuquerque city, NM",5.5,43,"2017"
"Chicago city, IL",5.5,43,"2017"
"Baltimore city, MD",6.1,45,"2017"
"Washington city, DC",6.1,45,"2017"
"Philadelphia County/city, PA",6.2,47,"2017"
"Fresno city, CA",6.7,48,"2017"
"Cleveland city, OH",7.4,49,"2017"
"Detroit city, MI",9.3,50,"2017"
