"metropolitan_area","rate","rank","year"
"Greenville-Anderson-Mauldin, SC Metropolitan Statistical Area",6.7,146,"2013"
"Lafayette-West Lafayette, IN Metropolitan Statistical Area",6.7,146,"2013"
"Lewiston-Auburn, ME Metropolitan NECTA",6.7,146,"2013"
"Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area",6.7,146,"2013"
"Wausau, WI Metropolitan Statistical Area",6.7,146,"2013"
"York-Hanover, PA Metropolitan Statistical Area",6.7,146,"2013"
"Albuquerque, NM Metropolitan Statistical Area",6.8,154,"2013"
"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",6.8,154,"2013"
"Cleveland-Elyria, OH Metropolitan Statistical Area",6.8,154,"2013"
"Farmington, NM Metropolitan Statistical Area",6.8,154,"2013"
"Gainesville, GA Metropolitan Statistical Area",6.8,154,"2013"
"North Port-Sarasota-Bradenton, FL Metropolitan Statistical Area",6.8,154,"2013"
"Pittsburgh, PA Metropolitan Statistical Area",6.8,154,"2013"
"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metropolitan Statistical Area",6.8,154,"2013"
"Tucson, AZ Metropolitan Statistical Area",6.8,154,"2013"
"Alexandria, LA Metropolitan Statistical Area",6.9,163,"2013"
"Jonesboro, AR Metropolitan Statistical Area",6.9,163,"2013"
"Napa, CA Metropolitan Statistical Area",6.9,163,"2013"
"Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area",6.9,163,"2013"
"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",6.9,163,"2013"
"Tuscaloosa, AL Metropolitan Statistical Area",6.9,163,"2013"
"Altoona, PA Metropolitan Statistical Area",7,169,"2013"
"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical Area",7,169,"2013"
"Dothan, AL Metropolitan Statistical Area",7,169,"2013"
"Evansville, IN-KY Metropolitan Statistical Area",7,169,"2013"
"Jacksonville, FL Metropolitan Statistical Area",7,169,"2013"
"Jacksonville, NC Metropolitan Statistical Area",7,169,"2013"
"Killeen-Temple, TX Metropolitan Statistical Area",7,169,"2013"
"Montgomery, AL Metropolitan Statistical Area",7,169,"2013"
"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area",7,169,"2013"
"Owensboro, KY Metropolitan Statistical Area",7,169,"2013"
"Rochester, NY Metropolitan Statistical Area",7,169,"2013"
"Kingston, NY Metropolitan Statistical Area",7.1,180,"2013"
"Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area",7.1,180,"2013"
"Naples-Immokalee-Marco Island, FL Metropolitan Statistical Area",7.1,180,"2013"
"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area",7.1,180,"2013"
"Reading, PA Metropolitan Statistical Area",7.1,180,"2013"
"St. Louis, MO-IL Metropolitan Statistical Area(1)",7.1,180,"2013"
"Santa Rosa, CA Metropolitan Statistical Area",7.1,180,"2013"
"Bloomington, IN Metropolitan Statistical Area",7.2,187,"2013"
"Bloomsburg-Berwick, PA Metropolitan Statistical Area",7.2,187,"2013"
"Bremerton-Silverdale, WA Metropolitan Statistical Area",7.2,187,"2013"
"Decatur, AL Metropolitan Statistical Area",7.2,187,"2013"
"Elkhart-Goshen, IN Metropolitan Statistical Area",7.2,187,"2013"
"Jackson, MS Metropolitan Statistical Area",7.2,187,"2013"
"Knoxville, TN Metropolitan Statistical Area",7.2,187,"2013"
"Lansing-East Lansing, MI Metropolitan Statistical Area",7.2,187,"2013"
"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area",7.2,187,"2013"
"Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area",7.2,187,"2013"
"Panama City, FL Metropolitan Statistical Area",7.2,187,"2013"
"Santa Maria-Santa Barbara, CA Metropolitan Statistical Area",7.2,187,"2013"
"Walla Walla, WA Metropolitan Statistical Area",7.2,187,"2013"
"Wheeling, WV-OH Metropolitan Statistical Area",7.2,187,"2013"
"Worcester, MA-CT Metropolitan NECTA",7.2,187,"2013"
"Bowling Green, KY Metropolitan Statistical Area",7.3,202,"2013"
"Burlington, NC Metropolitan Statistical Area",7.3,202,"2013"
"Cape Coral-Fort Myers, FL Metropolitan Statistical Area",7.3,202,"2013"
"Cincinnati, OH-KY-IN Metropolitan Statistical Area",7.3,202,"2013"
"Coeur d'Alene, ID Metropolitan Statistical Area",7.3,202,"2013"
"Dover, DE Metropolitan Statistical Area",7.3,202,"2013"
"Monroe, LA Metropolitan Statistical Area",7.3,202,"2013"
"Springfield, IL Metropolitan Statistical Area",7.3,202,"2013"
"Texarkana, TX-AR Metropolitan Statistical Area",7.3,202,"2013"
"Trenton, NJ Metropolitan Statistical Area",7.3,202,"2013"
"Athens-Clarke County, GA Metropolitan Statistical Area",7.4,212,"2013"
"Bellingham, WA Metropolitan Statistical Area",7.4,212,"2013"
"Champaign-Urbana, IL Metropolitan Statistical Area",7.4,212,"2013"
"Chattanooga, TN-GA Metropolitan Statistical Area",7.4,212,"2013"
"Cleveland, TN Metropolitan Statistical Area",7.4,212,"2013"
"Erie, PA Metropolitan Statistical Area",7.4,212,"2013"
"Fort Wayne, IN Metropolitan Statistical Area",7.4,212,"2013"
"Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area",7.4,212,"2013"
"Monroe, MI Metropolitan Statistical Area",7.4,212,"2013"
"Bridgeport-Stamford-Norwalk, CT Metropolitan NECTA",7.5,221,"2013"
"Florence-Muscle Shoals, AL Metropolitan Statistical Area",7.5,221,"2013"
"Hattiesburg, MS Metropolitan Statistical Area",7.5,221,"2013"
"Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area",7.5,221,"2013"
"Kingsport-Bristol-Bristol, TN-VA Metropolitan Statistical Area",7.5,221,"2013"
"Las Cruces, NM Metropolitan Statistical Area",7.5,221,"2013"
"Shreveport-Bossier City, LA Metropolitan Statistical Area",7.5,221,"2013"
"Springfield, OH Metropolitan Statistical Area",7.5,221,"2013"
"Syracuse, NY Metropolitan Statistical Area",7.5,221,"2013"
"Utica-Rome, NY Metropolitan Statistical Area",7.5,221,"2013"
"Akron, OH Metropolitan Statistical Area",7.6,231,"2013"
"Binghamton, NY Metropolitan Statistical Area",7.6,231,"2013"
"Buffalo-Cheektowaga-Niagara Falls, NY Metropolitan Statistical Area",7.6,231,"2013"
"Canton-Massillon, OH Metropolitan Statistical Area",7.6,231,"2013"
"Gadsden, AL Metropolitan Statistical Area",7.6,231,"2013"
"Hot Springs, AR Metropolitan Statistical Area",7.6,231,"2013"
"Kalamazoo-Portage, MI Metropolitan Statistical Area",7.6,231,"2013"
"Olympia-Tumwater, WA Metropolitan Statistical Area",7.6,231,"2013"
"Pittsfield, MA Metropolitan NECTA",7.6,231,"2013"
"Wenatchee, WA Metropolitan Statistical Area",7.6,231,"2013"
"Beckley, WV Metropolitan Statistical Area",7.7,241,"2013"
"Janesville-Beloit, WI Metropolitan Statistical Area",7.7,241,"2013"
"Midland, MI Metropolitan Statistical Area",7.7,241,"2013"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area",7.7,241,"2013"
"Prescott, AZ Metropolitan Statistical Area",7.7,241,"2013"
"Winston-Salem, NC Metropolitan Statistical Area",7.7,241,"2013"
"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",7.8,247,"2013"
"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",7.8,247,"2013"
"Fort Smith, AR-OK Metropolitan Statistical Area",7.8,247,"2013"
"Glens Falls, NY Metropolitan Statistical Area",7.8,247,"2013"
"Goldsboro, NC Metropolitan Statistical Area",7.8,247,"2013"
"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA",7.8,247,"2013"
"Lima, OH Metropolitan Statistical Area",7.8,247,"2013"
"San Diego-Carlsbad, CA Metropolitan Statistical Area",7.8,247,"2013"
"Springfield, MA-CT Metropolitan NECTA",7.8,247,"2013"
"Williamsport, PA Metropolitan Statistical Area",7.8,247,"2013"
"Wilmington, NC Metropolitan Statistical Area",7.8,247,"2013"
"Battle Creek, MI Metropolitan Statistical Area",7.9,258,"2013"
"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area",7.9,258,"2013"
"Colorado Springs, CO Metropolitan Statistical Area",7.9,258,"2013"
"Dayton, OH Metropolitan Statistical Area",7.9,258,"2013"
"El Paso, TX Metropolitan Statistical Area",7.9,258,"2013"
"Elmira, NY Metropolitan Statistical Area",7.9,258,"2013"
